pageid,name,revision_id
61607609,Abdyl Ypi,1220281072
73468106,Aboubakr Belkaid,1176411375
73393142,Ahmed Bidani,1212186965
77040115,Ahmed Hamiani,1226452639
72041110,Ali Aoun,1214835889
72217382,Aïssa Bekkai,1219685755
72004407,Basma Azouar,1192088820
54801060,Benaouda Hadj Hacène Bachterzi,1237478919
67257964,Bouras Djamel,1226437538
59054253,Brahim Chibout,1053460621
71905761,Brahim Djamel Kassali,1172500304
77299043,Chaâbane Aït Abderrahim,1234096174
40934630,Fatiha Serour,1218302579
73464226,Fayçal Bentaleb,1217131488
73546432,Fazia Dahleb,1244337610
72225113,Foued Chehat,1242037866
72374662,Hamza Al Sid Cheikh,1248318178
71936152,Hocine Cherhabil,1242619010
69357237,Ibrahim Boughali,1230623499
63374819,Kamel Beldjoud,1214832676
71816968,Kamel Bidari,1249963763
59103836,Lamine Bechichi,1111537825
55668009,Menduh Zavalani,1235824554
54516484,Mohamed Belouizdad,1169278443
59103577,Mohamed Bensalam,1235672021
71984080,Mohamed Bouslimani,1224118485
77002608,Mohamed Cherif Belmihoub,1226553342
59079383,Mohamed Seghir Babes,1226280389
71965500,Mohamed Tarek Belaribi,1241671793
73784749,Mokhtar Didouche,1227200392
76992156,Nadir Kassab,1226271746
72382864,Nassim Diafat,1213342432
59012695,Noureddine Bahbouh,1099284595
77147712,Rabah Bouaziz,1232492563
72391597,Rachid Bladehane,1186319378
19132132,Saïd Boualam,1240883461
72426997,Saïd Chibane,1230435685
55843103,Souad Bendjaballah,1134649751
73643212,Taha Derbal,1213344636
31973610,Visar Ymeri,1248230838
41653012,Visarion Xhuvani,1135323365
20381423,Xhezair Zaganjori,1143896123
72480952,Yahia Boukhari,1186319308
71926181,Youcef Belmehdi,1239235131
72050160,Youcef Chorfa,1214834266
71993130,Abdelhak Saihi,1218004839
71935892,Abderezak Sebgag,1212579707
71879294,Abderrachid Tabbi,1218530483
2911041,Abel Chivukuvuku,1165626565
70373705,Abraão Gourgel,1124441544
59146803,Adalberto Costa Júnior,1244123151
67009617,Adjany Costa,1242000475
76157103,Adão Francisco Correia de Almeida,1209524394
71943191,Ahmed Zeghdar,1213778323
59160194,Alexandre Sebastião André,1172178750
59046398,Amar Makhloufi,1235394946
76863557,Amar Mohammedi,1226279231
76157096,Ana Paula Chantre Luna de Carvalho,1209514022
66494161,Arlete Chimbinda,1177486404
52461596,Azzedine Mihoubi,1233387309
72067076,Bachir Messaitfa,1186318318
76156970,Bernarda Gonçalves Martins,1210193481
71800445,Brahim Merad,1244511083
35728776,Carolina Cerqueira,1241977204
59103471,Cherif Rahmani,1053461144
76156983,Diamantino Pedro Azevedo,1209522689
76157043,Faustina Fernandes Inglês de Almeida Alves,1251032908
70373619,Fiel Domingos Constantino,1217387083
72040941,Hichem Sofiane Salaouatchi,1212186286
7182495,Jeremias Chitunda,1220287872
76157012,Jesus Faria Maiato,1209631313
76157150,Jofre Van-Dúnem Júnior,1242307432
76157101,José Carvalho da Rocha,1242307441
76157091,José Luis de Matos,1242307337
71062166,João Baptista Borges,1227794006
14941379,Kafundanga Chingunji,1191431794
15020148,Kambamba Kulaxingo,1093124425
71976718,Kamel Rezig,1215901775
71943076,Kaoutar Krikou,1213795388
71936426,Karim Bibi Triki,1213794210
71856593,Laid Rebiga,1248662394
71984452,Lakhdar Rakhroukh,1186317568
75419664,Layachi Yaker,1226060720
76216650,Mohamed Ali Boughazi,1213870570
59103344,Mohamed Maghlaoui,1053469610
69509983,Naima Salhi,1213404244
71062546,Paulino Baptista,1242307496
67613741,Raul Danda,1158035855
75534043,Salim Saadi,1229426851
72004676,Samia Moualfi,1212181372
59079334,Sassi Lamouri,1181986973
71935626,Soraya Mouloudji,1226335614
72058737,Yacine Oualid,1214837789
71926661,Yassine Merabi,1214841607
59124706,Álvaro Arnaldo Craveiro,1194150567
77426307,Alex Browne (politician),1247631794
76157147,Ana Paula Sacramento Neto,1227909121
59144273,Augusto da Silva Tomás,1219179734
70373382,Branca Manuel Espirito Santo,1142474441
77554952,Caleb Gardiner,1241563135
70458059,Cheryl Mary Clare Hurst,1242813942
77325498,Clement Antonio,1241563106
70459566,Colin O'Neil Browne,1241563118
15350356,Daniel Ntongi-Nzinga,1187961349
11645534,David Mendes,1024544204
12740205,Elias Salupeto Pena,1220287990
59144241,Fernando Faustino Muteka,1241977176
78105044,Francisco Manuel Monteiro de Queiróz,1250824530
70464491,Gail Christian,1241563122
395065,James Carlisle,1242152285
57651944,Johnny Eduardo Pinnock,1242307359
264097,Jonas Savimbi,1246026420
59124604,José Aníbal Lopes Rocha,1242307479
41153135,José Filomeno dos Santos,1228399791
77643490,José Jacinto Van-Dúnem,1242841039
57583596,José Ndele,1154991360
76156726,José Vieira Dias Van-Dúnem,1227004140
70373537,José da Rocha,1153488959
72340359,João Ernesto dos Santos,1226309621
66363558,Luzia Inglês Van-Dúnem,1240720719
71062374,Luís Gomes Sambo,1242306989
77426752,Mackenzie Frank,1247632329
59144188,Manuel Bernardo de Sousa,1233607984
76151935,Manuel Neto da Costa,1209411144
76151917,Manuel Tavares de Almeida,1209411217
34653679,Manuel Vicente,1250493481
76151884,Marcos Alexandre Nhunga,1209413818
76151944,Maria Cândida Pereira Teixeira,1218506469
76156747,Maria do Rosário Teixeira de Alva Sequeira Bragança Sambo,1209513699
41094312,Mfulupinga Nlando Victor,1243272129
70457407,Osbert Richard Frederick,1241563130
76151960,Paula Cristina Francisco Coelho,1209410923
76156762,Pedro Mutinde,1209539718
59124349,Pedro Pedalé,1115715527
70373806,Pinda Simão,1118804168
4553552,Randolph Beazer,1247631912
